
show ip bgp summary
neighbor,as,updown,state,
10.254.9.14,64512,06:05:15,14,
10.254.9.26,64512,06:05:26,10,
10.254.9.66,64512,06:05:20,4,
10.254.9.74,64512,06:05:19,21,
10.254.9.98,64512,06:05:26,17,
10.254.9.110,64512,06:05:18,2,
10.254.9.146,64512,06:05:18,8,
10.254.9.154,64512,06:05:18,8,
192.168.233.2,64513,06:05:53,241,
192.168.234.1,64513,06:05:50,191,
192.168.234.2,64513,06:05:46,191,
192.168.240.15,64513,02:45:51,3,
192.168.240.16,64513,02:46:06,3,

show cdp neigh
device_id,local_intrfce,holdtme,capability_platform,platform,port_id,
RT55DP11HRTN.dps.com,Tunnel751,178,R I,ASR1001,Tunnel155,
RT55DP11HRTN.dps.com,Tunnel752,134,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel732,149,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel731,159,R I,ASR1001,Tunnel155,

show ip bgp neighbors 10.13.64.201 advertised-routes
network,next_hop,metric,locprf,weight,path,
S,10.252.144.128/27,[1/0],10.254.9.85,
S,10.252.144.160/28,[1/0],10.252.144.189,
S,10.252.148.192/30,[1/0],10.252.148.165,
S,10.252.148.196/30,[1/0],10.252.148.173,
S,10.252.148.200/30,[1/0],10.252.148.181,
S,10.252.148.204/30,[1/0],10.252.148.189,
S,10.252.249.32/27,[1/0],10.252.123.28,
S,10.253.0.128/26,[1/0],10.253.41.12,
S,10.253.0.192/32,[1/0],10.253.41.12,
S,10.253.0.196/32,[1/0],10.253.41.12,
S,10.253.0.197/32,[1/0],10.253.41.12,
S,10.253.1.128/27,[1/0],10.253.1.85,
S,10.253.2.80/32,[1/0],10.253.41.12,
S,10.253.2.81/32,[1/0],10.253.41.12,
S,10.253.2.88/29,[1/0],10.253.41.12,
S,10.253.32.0/27,[1/0],10.253.41.12,
S,10.253.33.0/27,[1/0],10.253.41.4,
S,10.253.37.0/27,[1/0],10.253.41.12,
S,10.253.40.1/32,[1/0],10.253.41.12,
S,10.253.40.2/32,[1/0],10.253.41.12,
S,192.168.252.31,[1/0],10.254.126.33,
S,192.168.252.32,[1/0],10.254.126.33,
C,10.252.57.32/30,,directly connected,,GigabitEthernet3/3.1894,
L,10.252.57.33/32,,directly connected,,GigabitEthernet3/3.1894,
C,10.252.57.204/30,,directly connected,,Port-channel1.1458,
L,10.252.57.205/32,,directly connected,,Port-channel1.1458,
C,10.252.118.16/29,,directly connected,,GigabitEthernet3/5.1596,
L,10.252.118.19/32,,directly connected,,GigabitEthernet3/5.1596,
C,10.252.123.24/29,,directly connected,,GigabitEthernet3/5.1629,
L,10.252.123.26/32,,directly connected,,GigabitEthernet3/5.1629,
C,10.252.144.176/28,,directly connected,,Vlan1294,
L,10.252.144.178/32,,directly connected,,Vlan1294,
C,10.252.148.160/29,,directly connected,,GigabitEthernet3/5.433,
L,10.252.148.162/32,,directly connected,,GigabitEthernet3/5.433,
C,10.252.148.168/29,,directly connected,,GigabitEthernet3/5.434,
L,10.252.148.170/32,,directly connected,,GigabitEthernet3/5.434,
C,10.252.148.176/29,,directly connected,,GigabitEthernet3/5.435,
L,10.252.148.178/32,,directly connected,,GigabitEthernet3/5.435,
C,10.252.148.184/29,,directly connected,,GigabitEthernet3/5.436,
L,10.252.148.186/32,,directly connected,,GigabitEthernet3/5.436,
C,10.253.1.80/28,,directly connected,,Vlan3006,
L,10.253.1.82/32,,directly connected,,Vlan3006,
C,10.253.41.0/29,,directly connected,,GigabitEthernet3/5.3041,
L,10.253.41.2/32,,directly connected,,GigabitEthernet3/5.3041,
C,10.253.41.8/29,,directly connected,,GigabitEthernet3/5.3042,
L,10.253.41.10/32,,directly connected,,GigabitEthernet3/5.3042,
C,10.254.9.80/28,,directly connected,,Vlan1620,
L,10.254.9.82/32,,directly connected,,Vlan1620,
C,10.254.9.96/30,,directly connected,,GigabitEthernet3/5.1621,
L,10.254.9.97/32,,directly connected,,GigabitEthernet3/5.1621,
C,10.254.126.32/30,,directly connected,,GigabitEthernet3/2.1376,
L,10.254.126.34/32,,directly connected,,GigabitEthernet3/2.1376,
O,10.252.57.36/30,[110/15],10.252.57.206,06:05:45,Port-channel1.1458,
O E1,10.252.57.81/32,[110/10],10.252.57.34,04:18:22,GigabitEthernet3/3.1894,
O E1,10.252.57.82/32,[110/10],10.252.57.34,04:18:22,GigabitEthernet3/3.1894,
